Company Name,Certified Products
ABC Ingredients,All Products
Al-Kawthar Poultry,Chicken - Whole & Parts
Al-Maaedah Chicken,Chicken - Whole & Parts
Ariana Meats,"Jumbo Beef Hot Dogs, Jumbo Beef Hot Smoked Sausage, Jumbo Chicken Hot Dogs, Jumbo Chicken Hot Smoked Sausage"
Archie's Foods,"Kubba of Wheat, Kubba of Rice, Kubba Krass, Kubba Halab, Tapsi, Potato Chop, Burak"
Boxed Halal,All products
Buckeye Butcher,Beef - Whole & Parts
Bulls-I-Halal,Beef - Whole & Parts
Emir Foods,"Beef - Whole & Parts, Veal - Whole & Parts, Chicken - Whole & Parts, Lamb - Whole & Parts, Beef Cervelat, Beef Salami, Beef Bologna, Chicken Salami, Chicken Bologna, Chicken Franks, Beef Franks, Beef Mortadella, Beef Kazy/Chunky Sausage, Smoked Chicken Legs, Smoked Chicken Breast, Smoked Half Chicken, Soujuk (Hot & Mild), Beef Pepperoni with Chicken, Beef Sausage (Hot & Mild), Chicken Sausage (Hot & Mild), Bologna “Doctorskaya”, Beef Pepperoni, Beef Salami “Moskowskaya”, Beef Salami “Osobaya”, Veal Knockwurst (Sardelki)"
Flavor Burst,"Chocolate Swirl, FLA001SH, 2. Strawberry FLA002SH, 3. Black Cherry FLA003SH, 4. Raspberry FLA004SH, 5. Peach Twist FLA005SH, 6. Bubble Gum FLA006SH, 7. Butterscotch FLA007SH, 8. Pina Colada FLA008SH, 9. Green Apple FLA009SH, 10. Butter Pecan FLA010SH11. Pistachio Nut FLA012SH, 12. Cool Mint FLA014SH, 13. Root Beer FLA016SH, 14. Tropical Orange, FLA017SH, 15. Cool Lemon FLA019SH, 16. Blue GooTM/ Cotton, Candy FLA021SH, 17. Lime Shake FLA022SH, 18. Purple Grape, FLA023SH, 19. Banana Ripple, FLA026SH, 20. Cheesecake FLA028SH, 21. Watermelon FLA029SH, 22. Chai / Pumpkin Pie, FLA037SH, 23. Blueberry FLA038SH, 24. Mocha Cappuccino, FLA039SH, 25. Classic Cherry, FLA040SH26. Mango FLA041SH, 27. French Vanilla, FLA042SH, 28. Blue Raspberry, FLA043SH, 29. Caramel Flavor, FLA044SH, 30. English Toffee, FLA046SH, 31. Hazelnut Flavor, FLA047SH, 32. Burst Energy Drink, FLA100SH, 33. Chocolate Swirl, FLA001SEA, 34. Strawberry FLA002SEA, 35. Black Cherry FLA003, 36. Raspberry FLA004SEA, 37. Peach Twist FLA005, 38. Bubble Gum FLA006, 39. Butterscotch FLA007, 40. Pina Colada, FLA008SEA, 41. Green Apple, FLA009SEA, 42. Butter Pecan, FLA010SEA, 43. Pistachio Nut FLA012, 44. Cool Mint FLA014, 45. Coffee N Crème, FLA015, 46. Rootbeer FLA016, 47. Tropical Orange, FLA017SEA, 48. Cool Lemon FLA019, 49. Blue GooTM/Cotton, Candy FLA021, 50. Lime FLA022, 51. Purple Grape FLA023, 52. Maple FLA025, 53. Banana Ripple FLA026, 54. Peanut Butter FLA027, 55. Cheesecake FLA028, 56. Watermelon FLA029, 57. Pineapple Delight, FLA030, 58. Blue Hawaii Coconut, FLA031, 59. Chai / Pumpkin Pie, FLA037, 60. Blueberry FLA038, 61. Mocha Cappuccino, FLA039, 62. Classic Cherry FLA040, 63. Mango FLA041, 64. Blue Raspberry FLA043, 65. Caramel FLA044, 66. English Toffee FLA046, 67. Black Raspberry, FLA050, 68. Pink Cotton Candy, FLA051, 69. Birthday Cake FLA052, 70. Butterbeer FLA053, 71. Cinnamon Bun FLA054, 72. Premium Neutral Base, FLA NB-3, 73. Java Latte FLA JL-2, 74. Chocolate Swirl, FLA001-BLD, 75. Strawberry FLA002-BLD, 76. Black Cherry FLA003-, BLD, 77. Pina Colada FLA008-, BLD, 78. Green Apple FLA009-, BLD, 79. Butter Pecan FLA010-, BLD, 80. Pistachio Nut FLA012-, BLD, 81. Cool Mint FLA014-BLD, 82. Tropical Orange FLA-, 017-BLD, 83. Blue GooTM/Cotton, Candy FLA021-BLD, 84. Purple Grape FLA023-, BLD, 85. Banana Ripple FLA026-, BLD, 86. Mocha Cappuccino, FLA039-BLD, 87. Blue Raspberry FLA043-, BLD, 88. Pink Cotton Candy, FLA051-BLD, 89. Birthday Cake FLA052-, BLD, 90. Cinnamon Bun FLA054-, BLD, 91. Egg Nogg FLA055"
Florida Halal Meat Slaughter & Processing,"Beef - Whole & Parts, Goat - Whole & Parts, Lamb - Whole & Parts"
Grecian Delight | Kronos,"Gyros - SKU MEK661712, Gyros - SKU ME000109, Gyros - SKU ME000110, Gyros - SKU ME000221, Gyros - SKU ME000228"
Green Meadows,Chicken - Whole & Parts
Greener Pastures Chicken,Chicken - Whole & Parts
Halal Bites,"Beef Jerky - Original, Beef Jerky - Ghost Pepper, Beef Jerky - Chipotle, Beef Jerky - Mango Habanero"
Halal Foundry,"Beef - Whole & Parts, Veal - Whole & Parts, Bison - Whole & Parts, Chicken - Whole & Parts, Goat - Whole & Parts, Lamb - Whole & Parts, Beef Bacon, Beef Pepperoni, Beef Hotdogs, Smoked Chicken Breast, Beef Salami, Chicken Salami, Beef Mortadella"
Halal Pastures,"Beef - Whole & Parts, Veal - Whole & Parts, Bison - Whole & Parts, Chicken - Whole & Parts, Goat - Whole & Parts, Lamb - Whole & Parts, Sausage, Burger Patties, Beef Kabob"
Halal Pride Farms,Chicken - Whole & Parts
LaBelle Farms,"Chicken - Whole & Parts, Duck - Whole & Parts"
Lekker Kitchen,"Bomba Buns, Chakalaka chicken with roasted veggies + potatoes, Chilli Chommi Pasta Koeksisters, Gogo Chicken Pops, Green Chutney, Jozi Haleem, Lekker Steak Shepherds Pie, Malva Pudding, Mama Fi’s Chicken Pie, Marinated Lamb Chops, Marinated Seafood, Marinated Steak, Milk Tart Saffa Mama Spice Rice, Peri Peri Birria Pot Pie, Peri Peri Chicken & Rice, Peri Peri Pot Pie, Peri Peri Sauce, Shaya Kebabs, Skew n Chew Sosaties"
Murray's Chicken,Chicken - Whole & Parts
One Stop Halal,"Beef - Whole & Parts, Veal - Whole & Parts, Bison - Whole & Parts, Chicken - Whole & Parts, Goat - Whole & Parts, Lamb - Whole & Parts, Elk - Whole & Parts, Fish, Shrimp, Beef Bacon, Beef Pepperoni, Beef Hotdogs, Smoked Chicken Breast, Beef Salami, Chicken Salami, Beef Mortadella, Beef Broth, Chicken Broth"
Pik Nik Foods USA,"Pik-Nik French Fried Onions, Pik-Nik Hot Shoestring Potatoes, Cheese Curls, Pik-Nik Sea Salt & Vinegar SSP, Cheese Balls, Pik-Nik Cheddar Cheese Shoestring Potatoes, Pik-Nik 50% Less Salt Shoestring Potatoes, Pik-Nik White Cheddar Thin-Cut Potato Chips, Pik-Nik Original Shoestring Potatoes, Pik-Nik Sriracha Ranch Thin-Cut Potato Chips, Pik-Nik Fabulous Fries, Bulk Salted Shoestrings, Pik-Nik Ketchup Fries, Bulk Unsalted Shoestrings, Pik-Nik Organic Potato Sticks"
PF Bakeries,"PF Pita Chips - All flavors, Pita Bread"
Prima Noce Packing,All products
Pryme Meals,All Meals
Reed Farm,Halal Chicken - Whole & Parts
SAN Meat Packing,"Beef - Whole & Parts, Beef Bacon, Beef Sausage, Beef Burger Patties"
Seasonal Sips,"Organic Bone Broth - Beef, Organic Bone Broth - Chicken"
Shawarma Al Basha,Kibbe Al Basha - Beef
Skinny Crust,"Lahmacun, Lahmacun - Hot, Lahmacun - Antep"
Supreme Beef Jerky,"Beef Jerky - Original Hickory, Beef Jerky - Sweet and Spicy, Beef Jerky - Western Teriyaki, Beef Jerky - Jalapeno Garlic, Beef Jerky - BBQ Scorpion Pepper, Beef Jerky - Mango Habanero, Beef Jerky - Sweet Garlic"
Taiba Halal Meat,"Chicken - Whole & Parts, Beef - Whole & Parts, Goat - Whole & Parts, Lamb - Whole & Parts"
"Upper Crust Enterprises, Inc.",All Panko Bread Crumbs
Well Bred Farms,Chicken - Whole & Parts
Vineland Poultry,Chicken - Whole & Parts
